Graphic Design , 2000
Fundraising ,0 
Video Making/Editing , 5000
Content Writing , 1000
Graphic Design , 3000
Web Development , 10000
Data Entry Cum Social Media Marketing , 1000
Content Writing , 2000
Acting , 1500
Digital Marketing , 10000
Social Media Marketing , 1000
Web Development , 5000
Web Development , 1000
Content Writing , 5000
Marketing , 1000
Mobile App Development , 5000
Social Media Marketing , 1000
Operations , 5000
Operations , 1000
Business Development  , 6000
Content Writing , 2000
Marketing , 2000
Digital Marketing , 3000
Content Writing ,0 
Mobile App Development , 6000
Game Design  , 1000
Marketing , 6000
Internet Of Things  ,0 
Business Development  , 8000
Content Writing , 7500
Web Development , 1500
Graphic Design , 3000
Software Development , 5000
Content Writing , 3000
Web Development , 1000
Web Development , 1000
Mobile App Development , 1000
Marketing , 6000
Curriculum Development , 7000
Graphic Design , 2500
Business Development  , 2000
Accounting , 8000
Content Writing , 1000
PR and Social Media Marketing ,0 
Social Media & Communications ,0 
Design , 5000
UI/UX Design , 4000
Social Media Marketing , 6000
Mobile App Development , 5000
Content Writing , 6000
Video Making/Editing  , 5000
Business Development  , 5000
Mobile App Development , 2000
Business Development  , 1000
Graphic Design , 2500
Web Development , 5000
Graphic Design , 6000
Operations , 2000
Android App Development , 9000
YouTube Video Creation , 1000
Mobile App Development , 5000
Web Development , 5000
Social Media Marketing , 1000
Technical Product Management , 30000
Digital Marketing , 3000
Content Writing , 1000
Graphic Design , 10000
Business Development  , 1000
Social Media Marketing ,0 
Content Writing , 1000
Content Writing , 2000
Graphic Design ,0 
Mobile App Development , 12000
Graphic Design , 100 /Design 
Talent Acquisition , 1000
Web Development ,0 
Content Writing , 3000
Content Writing , 1000
Web Development , 4000
Web Development , 2000
Social Media Marketing , 1000
Web Development , 2500
Content Writing , 2000
Graphic Design , 5000
Human Resources  , 2000
Content Writing , 5000
Content Writing ,0 
Social Media Marketing , 500 /week 
Human Resources  , 1000
Fundraising For Children Orphanage Through Digital Marketing ,0 
Content Writing , 1000
Marketing , 3000
Operations , 15000
Robotics Process Automation  , 1000
Artificial Neural Networks ,0 
Executive Assistance , 1000
Graphic Design , 5000
Business Development  , 4000
Content Writing , 2000
Content Creation  , 2500
Social Media Marketing , 5000
Content Writing , 2000
Wellness Teaching , 10000
Video Making/Editing , 1000
Content Writing ,0 
PHP Development  , 200
Web Development , 6000
Graphic Design , 15000
Digital Marketing , 3500
Backend Development , 2000
Content Writing , 2000
iOS App Development , 2000
Video Making/Editing , 5000
Full Stack Development , 13000
Internet Of Things  , 15000
Data Science and Scoring , 4000
Graphic Design , 7000
SEO , 2000
Backlink , 1000
Search Engine Optimization  , 1000
Content Writing , 3000
Graphic Design , 7000
Graphic Design , 5000
Graphic Design , 4500
Video Making/Editing , 3000
Civil Engineering , 2000
Web Development , 10000
Graphic Design , 6000
Education & ELearning ,0 
Video Making/Editing , 1500
Content Writing , 1000 /week 
Volunteering ,0 
Biotechnology And Microbiology , 2000
Digital Marketing , 4000  
Social Media Marketing ,0 
Social Media Marketing , 3000
Business Development  , 5000
Business Development  , 1500
Search Engine Optimization  , 1000
Web Development , 2000
Content Writing , 1000
Content Writing , 2000
UI/UX Design , 2500
Telecalling , 1000
Structure Design & Analysis ,0 
Business Analytics , 2500
Digital Marketing , 5000
Graphic Design , 5000
Social Media Marketing , 1000
Graphic Design ,0 
Business Development  , 6000
Software Development , 10000
Content Writing , 2000
Business Development- Social Media Live Project , 1000  
Graphic Design , 7000
Unity 3D Development , 10000
Content Writing , 1000
Marketing , 6000
Digital Marketing , 1000
Marketing , 2000
Marketing , 2000
Social Media Marketing , 4000
Full Stack Development , 7000
Marketing , 3000
Content Writing , 5500
Fundraising ,0 
Software Development , 5000
Business Development  , 10000
Campus Ambassador ,0 
Graphic Design , 3000
Digital Marketing , 3000
Digital Marketing , 5000
Graphic Design , 5000
Campus Ambassador ,0 
Business Development  , 10000  
Instagram Content Creation , 1000
Social Media Marketing , 5000
Mobile App Development , 5000
Campus Ambassador ,0 
Social Media Marketing , 1000
Human Resources  , 1500
Campus Ambassador ,0 
Campus Ambassador ,0 
Campus Ambassador ,0 
Campus Ambassador ,0 
Campus Ambassador ,0 
Software Development  , 2500
Content Development  , 2000
Web Development , 5000
Market Research , 10000
Content Writing , 1000
Business Development  , 6000  
Content Writing , 2000
Digital Marketing , 3000
Business Development  , 8000
Campus Ambassador ,0 
Content Writing , 5000
Web Development , 5000
Business Development  , 1000
Web Development , 1000
Business Development  , 5000
Mobile App Development , 5000
Web Development , 7000
Graphic Design , 4000
Software Development , 8000
Content Writing , 3000
Fundraising ,0 
Digital Marketing , 3000
Content Development  , 10000
Udyogini Internship Program ,0 
Content Writing , 1500
Animation 2D/3D , 2000
Data Entry , 1000
Lead Generation , 1000
Operations , 5000
Human Resources  , 3000
Embedded Systems , 5000
Graphic Design , 5000
Graphic Design , 1000
Graphic Design , 5000
Web Development , 2500
Content Writing , 2000
Business Development  , 6000
Social Media Marketing , 1000
Marketing , 6000
Marketing , 5000
Business Development  , 6000
Business Development  , 5000
Marketing , 6000
Graphic Design , 5000
Content Writing , 5000
Civil Engineering , 2500
Content Writing , 18000
MERN Stack Development , 10000
Human Resources  , 2000
Social Media Marketing , 2000
Data Entry , 5000
Social Media Marketing , 1000  
Content Writing , 1000
Business Development  , 9000
Teaching  , 5000
Online Data Entry , 2000
Investment Analytics , 10000
UI/UX Design , 10000
Business Development  , 1000
Content Writing , 1000
Media & Public Relations  , 4000
JavaScript Development , 10000
PHP Development , 8000
Mobile App Development , 8000
Business Development  , 20000
Social Media Marketing , 1000
Business Development  , 4000
Business Development  , 1000
Digital Marketing , 1000
Mobile App Development , 2000  
Digital Marketing , 1000
Business Development  , 1000
Marketing , 2000
Business Development  , 2000
Social Media Marketing , 2000
Mobile App Development , 10000
Graphic Design , 5000
Graphic Design , 2500
WordPress Development , 10000
UI/UX Design - Shopify , 4500
Business Development  , 7500
Graphic Design ,0 
Mobile App Development , 5000
iOS App Development , 20000
Activities Facilitation ,0 
Data Science , 7000
Campus Ambassador ,0 
Campus Ambassador ,0 
Web Development , 2000
Web Development , 2000
Campus Ambassador ,0 
Backend Development , 3000
Social Media Marketing , 1000
Content Writing , 15000
Marketing , 5000
Business Development  , 1000
AI  , 2500
Mobile App Development , 5000
Graphic Design , 7000
Flutter App Development , 6000
Digital Marketing , 14000
Campus Ambassador ,0 
Marketing , 6000
Video Making/Editing , 4500
Content Writing , 4000
Fundraising ,0 
Search Engine Optimization  , 1000
Fundraising , 5000-10000  
Project Management ,0 
Flutter Development , 35000
Video Making/Editing ,0 
Digital Marketing , 4000
Graphic Design , 6000
UI/UX Design , 3000-6000  
Content Writing , 3000
Mobile App Development ,0 
Web Development , 10000  
Business Development  , 7000
Web Development , 5000
Content Writing , 1000
Operations ,0 
Web Development , 5000
Content Writing , 1000
Operations ,0 
Content Writing , 1500
Operations , 6000
Content Writing , 1000
Social Media Marketing ,0 
Web Development , 1000
Email Marketing , 8000
Human Resources  , 3500
Content Writing , 3000
Customer Service , 3000
Digital Marketing , 2000
Digital Marketing , 3500
Web Development , 4000
Digital Marketing , 2000
Web Development , 1000
Social Media Marketing , 5000
Content Writing , 1000
Web Development , 8000
Search Engine Optimization  , 3000
Video Making/Editing , 3000
Web Development , 2000
Business Development  , 2000
Content Writing , 2000
Content Writing , 5000
Content Writing , 5000
IT Business Analysis , 5000
Digital Marketing , 12000
Search Engine Optimization  , 8000
Business Development  , 8000
Content Writing , 7500
Graphic Design ,0 
Content Development  , 3000
Content Writing , 2500
Web Scraping , 2000
Content Writing , 1000
Web Development , 1000
Web Development , 5000
Content Writing , 2500
Web Development , 1000
Mobile App Development , 10000
Web Development , 5000
Marketing , 8000
Marketing , 1000
Graphic Design , 1000
Journalism & Magazine Editing , 3000
Content Writing ,0 
Digital Marketing , 3000
Marketing , 5000
Angular.js Development , 2000
Social Media Marketing , 5000
Content Writing , 5000
Web Development , 1500
Graphic Design , 1000
Personal Assistant , 3000
Business Development  , 1000
Graphic Design , 1000
Personal Assistant , 3000
Business Development  , 1000
Business Development  , 10000
Business Development  , 3000
Business Development  , 1000
Marketing , 2000
Telecalling , 1000
Marketing , 3000-5000  
Accounts & Finance , 5000
Mobile App Development , 12000
Web Development , 12000
Customer Engagement , 5000
Business Development  , 3000
Digital Marketing , 1000
Web Development , 4000
Graphic Design ,0 
Social Media Marketing ,0 
Content Writing , 1000
Business Development  , 1000
Annotation Labeling , 8000
Digital Marketing , 1200
Business Development  , 2000
Content Writing , 2000
Mobile App Development , 3000
Operations , 1000 /week 
Software Development , 5000
Business Development  , 3000
Mobile App Development , 500 /week 
Content Writing , 5000
Operations Manager , 7000
Digital Marketing , 5000
Operations , 1000
Operations , 15000
Direct Marketing , 1000
Full Stack Development , 15000
Human Resources  , 5000
Content Writing , 6000
Digital Marketing , 3000 /week 
Marketing , 1000
Video Making/Editing , 2000
Social Media Marketing , 3000
Graphic Design , 2000
Graphic Design , 6000
Graphic Design , 1800
Content Writing , 3000
Content Development  , 3000
Marketing , 6000
Content Writing , 3000
Video Making/Editing , 2000
Graphic Design ,0 
Legal Research , 1000
Voice Over , 1000
Teaching , 3000
Media & Public Relations  , 2000
Content Writing , 2500
Web Development , 1000
Subject Matter Expert  , 10000
Content Development , 2500
Social Media Marketing ,0 
Business Development  , 7500
Digital Marketing , 10000
Search Engine Optimization  , 3000
Environmental Sciences ,0 
Operations , 13000
Video Editing , 25000
Video Making/Editing , 1000
Content Writing , 1000
Business Development  , 2000
Content Writing , 2000
Marketing , 3000
Statistics , 4000
Video Making/Editing , 1000
Social Media Marketing , 1000
Content Writing , 3000
Content Writing , 5000
Market Research , 1000
Graphic Design , 2500
Software Testing , 3000
Telecalling & Inside Sales , 4000
Content Writing , 1000
Content Writing , 5000
Mobile App Development , 4000
Social Media Marketing , 3000
Social Media Marketing , 5000
Video Making/Editing , 5000
Web Development , 5000
Graphic Design , 2000
Mobile App Development , 1000
Social Media Marketing , 2000
Graphic Design , 5000
Business Development  , 5000
Content Writing , 1000
Digital Marketing , 1000
Mobile App Development , 5000
PHP Development , 2000
Policy Research ,0 
Digital Marketing , 5000
Telecalling ,0 
Data Entry ,0 
Project Management ,0 
Business Development  ,0 
Program Management ,0 
CSR ,0 
Grant Management ,0 
Program Management ,0 
Operations ,0 
Marketing ,0 
Graphic Design ,0 
Social Media Marketing ,0 
Django Development ,0 
Content Writing ,0 
Human Resources  ,0 
Web Development ,0 
Video Making/Editing ,0 
Graphic Design , 4000
Graphic Design , 5000
Social Media Marketing , 5000
Business Development  , 1000
Business Development  , 1000
Web Development , 7000
Marketing , 15000
Graphic Design , 9000
Business Development  , 1000
Graphic Design , 5000
Graphic Design ,0 
Social Media Marketing , 1000
Finance & Marketing , 3000
Painting And Drawing , 5000
Social Media Marketing , 1000
Marketing , 12000
Advertising & Graphic Design , 8000
Fashion Design , 2000
Product Demonstration , 10000
Graphic Design ,0 
Operations , 2000
Marketing , 10000
Operations , 12000
Animation & Multimedia , 3000
Co-Founder's Office - Strategy And Research , 1000
Business Strategy , 1000
Graphic Design , 2000
Marketing , 1000
Editorial , 1000
Graphic Design , 2500
Mobile App Development , 6000
Business Development  , 3000
Mobile App Development , 5000
Business Development  , 5000
Graphic Design , 6000
Content Writing , 10000
Business Development  , 3000
Business Development  , 5000
Web Development , 3000
Digital Marketing , 12000
Digital Marketing , 2000
Digital Marketing , 5000
Social Media Marketing , 1000
Social Media Marketing , 6000
Social Media Marketing , 1000
Content Writing , 10000
Content Writing , 3000
Content Development  For Banking Exams , 3000
Human Resources  , 5000
Data Entry , 3000
Content Writing , 2000
Growth Hacking , 5000
Artificial Intelligence  , 5000
Content Development  , 5000
Graphic Design , 5000
Content Writing ,0 
Content Writing , 2000
Administration , 5000
Content Writing , 1000
Content Writing , 5000
Content Writing , 3000
Operations , 5000
Business Analytics , 5000
Blogging , 5000
Market Research ,0 
Front End Development , 6000
Content Writing , 10000
Business Development  , 3000
Python/Django Development , 2000
Business Development  , 4000
Cyber Security , 1000
Business Development  , 3000
Search Engine Optimization  , 5000
Digital Marketing , 4000
Digital Marketing , 12000
Industrial Design , 10000
Telecalling , 10000
Web Development , 5000
Marketing , 5000
Graphic Design ,0 
Fintech Ambassador ,0 
Marketing , 2000
Content Writing , 3000
Graphic Design , 3000
Content Writing ,0 
Content Writing , 3000
Front End Development , 15000
Content Writing , 1000  
Graphic Design , 1000  
Social Media Marketing , 3000-8000  
Mobile App Development , 2000
Marketing , 2000  
Business Development Management , 1000
Teaching  , 12000
Content Writing , 3000-8000  
Content Writing ,0 
Social Media Marketing , 3000
Graphic Design , 10000
Business Development  , 1500
Marketing , 1000
Marketing , 12000
Social Media Marketing , 3000
Customer Service , 3000
Mobile App Development , 4000
Digital Marketing , 5000
Business Development  , 5000  
Social Media Marketing , 5000
Support Ration Kits For Daily Wagers , 3000
Volunteering , 3000
Marketing , 5000
Philanthropy , 3000
Networking And STEM Workshop Execution , 5000
Business Development  , 3000
Digital Marketing , 3500
Math Education Research Fellowship , 3000
Economics , 5000
Business Development  , 1000
Video Editing , 1000
Business Development  , 8000
Finance , 5000
Graphic Design , 2500
Software Development , 1000
Voice Over  , 3000
Social Media Marketing , 5000
Business Development  , 1000
Animation , 1000
Telecalling , 5000
Business Development  , 3000
Web Development , 1000
Software Testing , 2000
Business Development  , 3000  
Web Development , 5000
Business Development  , 3000
Social Media Marketing , 1000
Business Development  , 3000
Content Writing  , 5000
Data Entry , 1500
Content Writing , 5000
Marketing , 10000
iOS App Development , 1000
Content Writing ,0 
Customer Service , 3000
Graphic Design , 2000
Product Development ,0 
Search Engine Optimization  ,0 
Content Lead ,0 
Marketing ,0 
Proofreading ,0 
YouTube Marketing ,0 
Subject Matter Expert ,0 
Social Media Marketing ,0 
Volunteering ,0 
Outreach Coordination ,0 
Digital Marketing , 3000
Operations , 3000
Social Media Marketing , 2000
Social Media Management , 4000
Mobile App Development , 5000
Graphic Design ,0 
Social Media Marketing ,0 
React Native Development , 10000
Search Engine Optimization  , 1000
Business Development  , 3000
Content Writing , 3000
Mobile App Development , 10000
Web Development , 10000
Business Development  , 1000
Social Media Marketing ,0 
Content Writing , 1000
Marketing , 3000
Graphic Design ,0 
Social Media Marketing , 3000
Graphic Design , 3000
Business Development - Autism Artificial Intelligence Platform , 10000
Content Development  , 6000
COVID-19 Crowdfunding  ,0 
Creative Technology ,0 
Innovation Sprint AI And Web Development , 250
Web Development , 3000
Digital Marketing , 3000
Web Development , 3000
Digital Marketing , 3000
Law/ Legal ,0 
Video Editing , 1000
Graphic Design , 2000
Flutter App Development , 1000
Animation Videos And Motion Graphics , 1000
Chartered Accountancy  , 20000
Web Development , 3000
Social Media Marketing ,0 
Teaching  , 1000
Photo Editing , 1000
Ethical Hacking , 7000
Digital Marketing , 1000
Graphic Design ,0 
Human Resources  ,0 
Web Development , 4000
Teaching  , 1000
Web Development , 1000
Illustration/Caricature Art , 3500
Web & App UI Design , 4000
Content Writing , 2000
Mobile App Development , 5000
Operations , 1000
Human Resources  , 1000
Social Media Marketing , 1000
Marketing , 1000
Graphic Design , 1000
Content Writing , 1000
Digital Marketing , 5000
Web Development , 1000
Mobile App Development , 1000
Data Analytics , 10000
Marketing , 15000
Graphic Design , 2000
Graphic Design , 1500
Graphic Design , 2000
Media & Public Relations  , 3000
Business Development  , 5000
Business Development  , 7000
Digital Marketing , 5000
Graphic Design , 3000
News Reporting , 2000
Business Development  , 5000
Animation , 1000
Social Media Marketing , 2000
Media & Public Relations  , 3000
Social Media Marketing , 1000
Graphic Design , 5000
Graphic Design ,0 
Mobile App Development , 3000
Online Research , 2000
Social Media Marketing , 12000
Graphic Design , 9000
Digital Marketing - Off Page SEO  , 10000
Customer Relationship Management  , 5000
Web Development , 3500
Telecalling , 5000
Graphic Design , 2000
Web Development , 2000
Content Writing , 8000
Social Media Marketing , 1000
Business Development  , 1000
Product Management , 20000
Digital Marketing , 10000
Architecture and Design , 5000
Python Development , 12000
Web Development , 3000
Data Entry , 2000
Media Strategist , 4000
Web Development , 5000
Web Development , 8000
Video Making/Editing , 1500
Human Resources  , 2500
Content Writing , 5000
Video Making/Editing , 1000
Mobile App Development , 3000
Content Writing , 3000
Web Development , 3000
Business Development  , 1500
Accounts/Taxation , 1000
Graphic Design , 2000
Web Development , 7000
Business Development  , 5000
Content Writing , 40
Content Writing , 2000
Digital Marketing , 5000
Social Media Marketing , 2000
Human Resources  , 2000
Graphic Design , 2500
Content Writing , 2500
Mobile App Development , 2500
Marketing , 2500
Graphic Design , 2500
Content Writing , 2500
Mobile App Development , 2500
Marketing , 2500
Web Development , 2500
Content Writing  , 3000
Project Management , 15000
Digital Marketing , 15000
ChatBot Development , 6000
Business Development  , 1000
Research & Brand Development , 6000
Content Writing , 5000
Mobile App Development , 1000
Content Writing , 1000
Social Media Marketing , 1000
Digital Marketing  , 1000
Graphic Design , 5000
Business Development  , 20000
Social Media Marketing , 2000
Project Coordination , 1000
Business Development  , 1000
Web Development , 5000
Test Engineering  , 2000
Graphic Design , 3000
Human Resources  , 8000
Medicine , 3000
Corporate Sales , 7000
Business Development  , 5000
Marketing , 5000
Business Development  , 1000
Business Development  , 1000
Business Development  , 5000
Digital Marketing , 6000
Social Media Marketing , 2500
Business Development  , 1000
Python Development , 5000
Web Development , 2000
Business Development  , 2000
Web Development , 2000
Business Development  , 2000
Mobile App Development , 8000
Game Design And Development , 15000
Social Media Marketing , 5000
Mobile App Development , 6000
Mobile App Development , 6000
Social Media Marketing , 5000
Web Development , 6000
UI/UX Design , 1000
Graphic Design , 300 /Screen/page Design 
Web Development , 8000
Content Writing , 1000
Android App Development , 2000
Social Media Marketing ,0 
Marketing , 5000
Web Development , 2000
Web Development , 3000
Business Development  , 2000
Web Development , 5000
Telesales & Marketing , 2000
Telecalling , 2000
Web Development , 2000
Digital Marketing , 2000
Content Writing , 1000
Content Writing , 8000
Digital Marketing , 2000
Content Writing , 1000
Content Writing , 8000
Investment Analysis , 10000
Business Development  , 1000
Mobile App Development , 8000
Social Media Marketing , 7500
Full Stack Development , 3000
Web Development , 5000
Business Development  , 2000
Business Development  , 1000
Content Writing , 1000
Human Resources  , 2000
Technical Support , 4000
Business Development  , 1000
Graphic Design , 2000
Social Media Marketing , 2000
Content Writing , 2000
Business Development  , 1000
Content Writing , 2000
Web Development , 10000
Digital Marketing , 2500
Client Acquisition , 1000
Software Testing , 2500
Animation , 12000
Business Development  , 3000
Content Writing , 1000
Social Media Marketing , 3000
Mobile App Development , 3000
Social Media Marketing , 2000
Animation ,0 
YouTube Video Creation  , 1000
Digital Marketing , 7000-10000  
Digital Marketing , 1000
Web Development , 20000
Human Resources  , 5000
Telecalling , 5000
Social Media Marketing , 2000
Operations , 9000
UI/UX Design , 6000
Marketing , 3000
Web Development , 1000
Social Media Marketing , 4000
Flutter/iOS Development , 25000
Social Media Marketing , 5000  
Content Writing , 5000
Fashion Design , 1000
Business Development  , 3000
Web Development , 1000
Web Development , 4000
Web Development , 1000
Content Writing , 3000
Front End Development , 7000
Marketing , 1000
Operations , 1000
Web Development , 1000
Graphic Design , 6000
Business Development  , 1000
Business Development  , 1500
Content Writing , 1000
Digital Marketing , 1000
Subject Matter Expert  , 2000
Marketing , 5000
Business Development  , 1000
Business Development  , 5000
Content Writing , 2000
Script Writing , 4000
Claim Management , 7000
Business Development  , 4000-9000  
Marketing , 1500
Web Development  , 8000
Web Development , 10000
Journalism , 1000
Business Development  , 6000
Digital Marketing ,0 
Content Writing ,0 
Donor Database Collection & Management ,0 
Mobile App Development , 5000
Digital Marketing , 5000
Human Resources  , 4000
Content Writing , 3000
Video Making/Editing , 5000
Graphic Design , 5000
Business Development  , 5000
Digital Marketing , 5000
Content Writing  , 1000
Web Development , 5000
Google Firebase Flutter , 35000
Machine Learning , 1000
Web Development , 10000
Web Development , 8000
Business Development  , 8000
Accounts , 2000
Human Resources  , 3000
Business Development  , 2000
Web Development , 2000
Business Development  , 10000
Web Development , 7000
Business Development  , 9000
Business Development  , 1500
Mobile App Development , 10000
Accounts , 3000
Digital Marketing , 5000
Graphic Design , 2000
Web Development , 6000
UX/UI Design , 2000
Digital Marketing , 1000
Business Development  , 1000
Business Development  , 1500
Content Writing , 5000
Digital Marketing , 1000
Graphic Design , 2500
Social Media Marketing , 5000
Marketing , 1500
QA/Testing & Customer Support , 150
Business Development  , 16000
Content Writing , 3000
Digital Marketing , 3000
Business Development  , 2000
Web Development , 3000
Content Writing , 1000  
Mobile App Development , 10000
Web Development , 4000
Video Making/Editing , 5000
Graphic Design , 5000
Architecture & Interior Design , 2000
Social Media Marketing , 1000
WordPress Development , 7000
Insurance & TPA Management , 5000
Marketing , 2000
Flutter App Development , 9000  
Mobile App Development , 5000
Online Teaching  , 3000
Graphic Design , 2000
Business Development  , 4000
Online Teaching  , 3000
Digital Marketing , 10000
Business Development  , 3000
Online Teaching  , 3000
Data Science/Machine Learning , 1000
Online Teaching  , 6000
Data Search , 1000
Marketing , 7000
Content Writing , 8000
COVID-19 Awareness & Precautions  ,0 
Research Analysis , 10000
Content Writing , 15000
Mobile App Development , 5000
Mobile App Development , 2500
Software Development , 8000
Web Development , 2000
Digital Marketing , 3000
Web Development , 5000
Business Development  , 1000
Mobile App Development , 15000
Creative Video & Film Making , 10000
E-Book Content Development , 3000
Artificial Intelligence  ,0 
Social Media Marketing , 3000
Android App Development , 8000
Business & Policy Research , 2500
Graphic Design , 2000
Human Resources  , 12000
Business Development  , 5000
Business Development  , 4000
Business Development  , 1000
Artificial Neural Networks ,0 
Physics Online Teaching For XI XII , 5000
UI/UX Front End Development , 5000
Web Development , 5000
Copywriting And Marketing , 5000
Graphic Design , 3000
Content Writing , 2000
Web Development , 2000
Business Development  , 12000
Human Resources  , 5000
Content Writing , 10000-15000  
Magento Development , 5000
UX/UI Design , 2000
Freelancer Recruitment , 3000
Video Making/Editing , 5000
Content Writing , 1500
Full Stack Development , 5000
Digital Marketing , 5000
Digital Marketing , 5000
Marketing , 1000
Business Development  , 30000
Business Development  ,0 
Human Resources  , 5000
Business Development  , 6000
Business Development  ,0 
Digital Marketing , 8000
Agile Business Analysis , 3000  
Social Media Marketing , 5000
Software Development , 3500
Social Media Marketing , 5000
Financial Journalism , 1000
Computer Vision , 2000
Proofreading/Editorial , 2000
UI/UX Design , 7000
Content Writing , 2000
Youtube Videos Promotion , 3000
Customer Service , 12000
Digital Marketing , 2000
Media & Public Relations  , 1000
Social Media Marketing ,0 
Business Development  , 9000
Web Development , 5000
Data Science , 10000
Spanish/German Tutoring , 3500
Content Writing , 5000
Business Development  , 10000
Graphic Design ,0 
Flutter Development , 3000
Animation , 5000
Content Development  , 8000
Web Development , 5000
ReactJs Development , 3000  
Product Marketing , 1000
Business Development  , 10000
Market Research , 2000
Sales & Market Research , 1000
Operations , 5000
Content Writing , 5000
Web Development , 2000
Content Writing , 3000
Marketing  ,0 
Digital Marketing , 1000
Sales , 2000
Digital Marketing , 1000  
Content Writing  , 10000
Social Media Marketing , 2000
Web Development , 8000
Web Development , 2000
Business Development  , 6000
Content Writing , 10000
Human Resources  , 10000
Marketing , 4000
Graphic Design , 5000
Mobile App Development , 8000
Telugu Content Writing , 1500
Web Development , 3000
Operations , 3000
Full Stack Development  , 2000
Operations , 3000
Content Writing , 8000
PHP Laravel Development , 1000
Digital Marketing , 1000
Law/ Legal ,0 
Content Writing , 10000
Graphic Design , 10000
Finance/Legal , 3000
Digital Marketing , 8000
Content Writing , 5000
Graphic Design , 15000
Web Development , 8000
Human Resources  , 5000
Mobile App Development , 15000
Web Development , 2000
Digital Marketing , 6000
Web Development , 5000
Marketing , 2000
Search Engine Optimization  , 12000
Business Development  , 1000
iOS App Development , 1000
Marketing , 1000
Business Development  , 2000
Operations , 2500
Web Development , 2000
Content Writing , 1000 /Write-up 
Graphic Design , 1000
Marketing , 5000
Mobile App Development , 1500
Content Writing , 10000
Digital Marketing , 3000
Social Media Marketing ,0 
Social Media Marketing , 10000
Jewelery Design , 10000
Data Analytics , 8000
Marketing , 2000
Video Creation and Editing , 6000
Business Development  , 10000
Social Media Marketing ,0 
Executive Assistant To CMD/VP , 10000
Audio/Video Auditing ,0 
Video Making/Editing , 4500
Content Writing , 1000
Business Development  , 4000
Business Development  , 2000
Marketing , 3000
Business Development  , 8000
Content Writing ,0 
Lead Attribution Analysis , 5000
Procurement Operations , 5000
Social Media Marketing , 2000
Supplier Relationship Management , 5000
Finance , 5000
Consultant - Inside Sales , 10000
Web Development , 10000
Content Writing , 5000
PHP Development , 9000  
Business Development  , 5000
Industrial/Product Design - 3D , 15000
Social Media Marketing , 2500
Content Writing , 3000-4000  
Mobile App Development , 6000
Event Management , 1000
Content Writing , 2500
UI/UX Design , 10000
Web Development , 10000
Subject Matter Expert , 2000
Social Media Marketing , 10000
Search Engine Marketing , 7500
Cold Calling , 1000
Marketing , 1500
Content Writing , 8000
Digital Marketing , 1500
Digital Marketing , 3000
Digital Marketing , 12000
Operations , 5000
Graphic Design , 1500
Business Development  , 3000
Content Writing , 5000
Graphic Design , 3000
Business Development  , 1000
